Pop1,Pop2,gen_dist,geo_dist,color
CT1,LOB,0.469472678,167.2904667,red
CT1,LW,0.423725774,113.5244639,red
CT1,MC,0.285337042,45.69934914,orange
CT1,MD,0.586237719,190.4176926,brown
CT1,PG,0.3039161,31.93969895,orange
CT1,PT,0.305731835,57.66943726,red
CT1,RL,0.46125528,34.12056822,orange
CT1,S100,0.559880665,128.1987142,red
CT1,S110,0.501343515,95.55226048,red
CT1,S8CR,0.307492582,107.3539893,red
CT1,S90,0.457047276,125.3868546,red
CT1,SOC,0.399627535,33.21233072,orange
CT1,SPC,0.28025269,93.5884469,red
CT1,T1L,0.401766971,43.17102869,red
CT1,VFTG,0.484499551,184.7202786,brown
CT1,VL1,0.233296085,15.97586374,orange
CT1,VL2,0.29171995,12.37208587,orange
CT2,DN,0.428584763,182.6591195,brown
CT2,EPHS,0.306649164,37.28281392,orange
CT2,FS,0.365724813,20.36462827,orange
CT2,GSN,0.329138228,107.0072127,orange
CT2,HIB,0.874676377,43.81221906,orange
CT2,JGSS,0.38022474,106.9707794,red
CT2,LOB,0.459710592,166.1015394,red
CT2,LW,0.42728725,112.539224,red
CT2,MC,0.295502461,44.65564893,orange
CT2,MD,0.611209778,190.2254091,brown
CT2,PG,0.486404835,33.05901431,orange
CT2,PT,0.318980141,56.4450943,red
CT2,RL,0.470442641,34.34546081,orange
CT2,S100,0.547019198,127.0379233,red
CT2,S110,0.487559019,94.32862847,red
CT2,S8CR,0.329146127,106.085018,red
CT2,S90,0.460103082,124.1960412,red
CT2,SOC,0.580453975,34.57213199,orange
CT2,SPC,0.312090845,92.26952367,red
CT2,T1L,0.408136835,42.06475785,red
CT2,VFTG,0.485489544,184.5621319,brown
CT2,VL1,0.253284395,15.69771016,orange
CT2,VL2,0.281253803,12.35782939,orange
DN,EPHS,0.373408518,158.4812899,brown
DN,FS,0.577247293,168.6259313,brown
DN,GSN,0.295572804,139.0876316,brown
DN,HIB,1.158195375,216.5664898,brown
DN,JGSS,0.300879765,140.4666939,purple
DN,LOB,0.464441524,150.1656306,purple
DN,LW,0.378037251,114.9599888,purple
DN,MC,0.365093823,151.3328798,brown
DN,MD,0.191049751,7.567041516,blue
DN,PG,0.640440492,206.8202805,brown
DN,PT,0.316047944,155.7823008,purple
DN,RL,0.543383455,150.3981177,brown
DN,S100,0.50496074,137.0164726,purple
DN,S110,0.436194498,147.550894,purple
DN,S8CR,0.387028462,154.6983503,purple
DN,S90,0.427950594,141.9171342,purple
DN,SOC,0.613341885,197.2158059,brown
DN,SPC,0.369435572,163.5482178,purple
DN,T1L,0.392487831,155.3453545,brown
DN,VFTG,0.006012192,4.840360356,blue
DN,VL1,0.461572494,166.9661142,brown
DN,VL2,0.515723503,170.5162149,brown
EPHS,FS,0.323674633,16.92345241,orange
EPHS,GSN,0.310660362,69.89189727,orange
EPHS,HIB,0.769086163,81.08815329,orange
EPHS,JGSS,0.334210673,69.91656869,red
EPHS,LOB,0.459999769,129.0631174,red
EPHS,LW,0.406408706,75.7847758,red
EPHS,MC,0.185322714,8.108083131,orange
EPHS,MD,0.563547399,165.9297811,brown
EPHS,PG,0.449645062,70.33571153,orange
EPHS,PT,0.276903832,20.32894766,red
EPHS,RL,0.493159334,37.55428017,orange
EPHS,S100,0.519022674,89.85815712,red
EPHS,S110,0.463780879,57.72821733,red
EPHS,S8CR,0.357912932,70.21265816,red
EPHS,S90,0.434605354,87.1940443,red
EPHS,SOC,0.583842696,70.15838468,orange
EPHS,SPC,0.324932672,58.08881494,red
EPHS,T1L,0.213209571,4.804721249,orange
EPHS,VFTG,0.440171443,161.1003008,brown
EPHS,VL1,0.228738829,28.0894401,orange
EPHS,VL2,0.337188015,31.90716801,orange
FS,GSN,0.419474533,86.74865984,orange
FS,HIB,0.561145526,64.17603436,orange
FS,JGSS,0.536731638,86.74406279,red
FS,LOB,0.603093571,145.8934761,red
FS,LW,0.55317582,92.36134763,red
FS,MC,0.325728877,24.3758407,orange
FS,MD,0.805954757,176.1578583,brown
FS,PG,0.452069666,53.41266284,orange
FS,PT,0.403052728,36.50247445,red
FS,RL,0.57558322,30.69307208,orange
FS,S100,0.722522219,106.7467154,red
FS,S110,0.627452173,74.31460683,red
FS,S8CR,0.493771738,86.43048562,red
FS,S90,0.612850562,104.001022,red
FS,SOC,0.683134731,53.63942944,orange
FS,SPC,0.424163125,73.35178244,red
FS,T1L,0.497599608,21.70037441,orange
FS,VFTG,0.60646668,170.8982194,brown
FS,VL1,0.10735848,13.84055954,orange
FS,VL2,0.297882794,16.56955831,orange
GSN,HIB,0.95914554,150.6554911,orange
GSN,JGSS,0.070656471,1.381027491,red
GSN,LOB,0.345384738,59.18337563,red
GSN,LW,0.234796373,24.14663423,red
GSN,MC,0.249132362,63.31431696,orange
GSN,MD,0.452195725,145.237558,brown
GSN,PG,0.528451371,140.0344578,orange
GSN,PT,0.227150839,50.86656614,red
GSN,RL,0.42479201,99.06531746,orange
GSN,S100,0.387573518,20.09764955,red
GSN,S110,0.299778173,14.63568467,red
GSN,S8CR,0.291411548,15.6253854,red
GSN,S90,0.294879651,17.45258356,red
GSN,SOC,0.493094139,139.9016729,orange
GSN,SPC,0.287112266,28.33073515,red
GSN,T1L,0.321363925,65.2124134,orange
GSN,VFTG,0.349192767,143.2226476,brown
GSN,VL1,0.362502566,97.20698071,orange
GSN,VL2,0.390709968,101.3319536,orange
HIB,JGSS,1.12689091,150.5753184,red
HIB,LOB,0.96941684,209.6340728,red
HIB,LW,1.2078868,156.1541163,red
HIB,MC,0.843108918,88.43248147,orange
HIB,MD,1.458745259,224.0762485,brown
HIB,PG,0.854486784,10.93762282,orange
HIB,PT,1.066140184,99.8831362,red
HIB,RL,1.200012589,67.31331459,orange
HIB,S100,1.264274137,170.7221335,red
HIB,S110,1.219911885,137.680466,red
HIB,S8CR,1.020238023,148.9358975,red
HIB,S90,1.23180919,167.7391763,red
HIB,SOC,1.304693,20.07133279,orange
HIB,SPC,0.90430868,134.3010977,red
HIB,T1L,0.972983563,85.87477147,orange
HIB,VFTG,1.064039634,217.8251045,brown
HIB,VL1,0.422847762,56.44643886,orange
HIB,VL2,0.811380799,52.07511391,orange
JGSS,LOB,0.362351249,59.15041981,green
JGSS,LW,0.291248812,25.522412,green
JGSS,MC,0.291509931,63.43862053,red
JGSS,MD,0.536845576,146.6136878,purple
JGSS,PG,0.589337851,139.9795822,red
JGSS,PT,0.250798624,50.73048717,green
JGSS,RL,0.496928568,99.47319238,red
JGSS,S100,0.433122234,20.31175723,green
JGSS,S110,0.319045378,14.00001468,green
JGSS,S8CR,0.329640088,14.25182147,green
JGSS,S90,0.322290297,17.29351953,green
JGSS,SOC,0.598664879,139.9832102,red
JGSS,SPC,0.320509686,27.22848714,green
JGSS,T1L,0.336082804,65.26034238,red
JGSS,VFTG,0.357983544,144.6027992,purple
JGSS,VL1,0.398464033,97.33735753,red
JGSS,VL2,0.461083659,101.4415334,red
LOB,LW,0.434592341,62.69794774,green
